typeID,typeName,soloContracts,meanSoloPrice,medianSoloPrice,modeSoloPrice,minSoloPrice,maxSoloPrice,packageContracts,meanPackagePrice,medianPackagePrice,modePackagePrice,minPackagePrice,maxPackagePrice,meanMarketPrice,medianMarketPrice,modeMarketPrice,marketLiquidity,minMarketPrice,maxMarketPrice,minPrice,marketType,minPriceRegionID,minPriceRegionName
33395,Moracha,1,475000000000,475000000000,475000000000,475000000000,475000000000,0,,,,,,,,,0,,,475000000000,solo,10000002,The Forge
35834,Keepstar,1,219000000000,219000000000,219000000000,219000000000,219000000000,0,,,,,,205000000000,205000000000,205000000000,1,205000000000,205000000000,205000000000,market,10000002,The Forge
34632,Scorpion Ishukone Watch SKIN,1,200000000000,200000000000,200000000000,200000000000,200000000000,0,,,,,,,,,0,,,200000000000,solo,10000002,The Forge
42125,Vendetta,0,,,,,,1,176000000000,176000000000,176000000000,176000000000,176000000000,,,,0,,,176000000000,package,10000030,Heimatar
3764,Leviathan,0,,,,,,1,160000000000,160000000000,160000000000,160000000000,160000000000,,,,0,,,160000000000,package,10000030,Heimatar
23773,Ragnarok,0,,,,,,4,122000000000,120000000000,130000000000,115000000000,130000000000,,,,0,,,115000000000,package,10000043,Domain
3515,Revenant Blueprint,1,79000000000,79000000000,79000000000,79000000000,79000000000,0,,,,,,,,,0,,,79000000000,solo,10000043,Domain
14767,Estamel's Modified Multispectrum Shield Hardener,1,70000000000,70000000000,70000000000,70000000000,70000000000,0,,,,,,,,,0,,,70000000000,solo,10000002,The Forge
49947,Paladin Yoiul Festival YC121 SKIN,0,,,,,,0,,,,,,59900000000,59900000000,59900000000,1,59900000000,59900000000,59900000000,market,10000002,The Forge
54840,Vorton Power Amplification,0,,,,,,0,,,,,,46990000000,46990000000,46990000000,1,46990000000,46990000000,46990000000,market,10000002,The Forge
37178,Standup XL-Set Equipment and Consumable Manufacturing Efficiency I,0,,,,,,0,,,,,,46970000000,46970000000,46970000000,1,46970000000,46970000000,46970000000,market,10000002,The Forge
37180,Standup XL-Set Ship Manufacturing Efficiency I,0,,,,,,0,,,,,,46970000000,46970000000,46970000000,1,46970000000,46970000000,46970000000,market,10000002,The Forge
43704,Standup XL-Set Structure and Component Manufacturing Efficiency I,0,,,,,,0,,,,,,46970000000,46970000000,46970000000,1,46970000000,46970000000,46970000000,market,10000002,The Forge
54794,EDENCOM Battleship,0,,,,,,0,,,,,,44990000000,44990000000,44990000000,1,44990000000,44990000000,44990000000,market,10000002,The Forge
55511,Vorton Arc Extension,0,,,,,,0,,,,,,45990000000,44980000000,45990000000,4,44980000000,46990000000,44980000000,market,10000002,The Forge
47513,'Draccous' Fortizar,0,,,,,,0,,,,,,47905000000,46980000000,54990000000,4,44820000000,54990000000,44820000000,market,10000002,The Forge
47516,'Prometheus' Fortizar,0,,,,,,0,,,,,,45872500000,43990000000,45500000000,4,43990000000,48000000000,43990000000,market,10000002,The Forge
49958,Sleipnir Yoiul Festival YC121 SKIN,0,,,,,,0,,,,,,42000000000,42000000000,42000000000,1,42000000000,42000000000,42000000000,market,10000002,The Forge
4388,Miasmos Quafe Ultramarine Edition,0,,,,,,0,,,,,,41900000000,41900000000,41900000000,1,41900000000,41900000000,41900000000,market,10000002,The Forge
41211,Unit W-634's Modified Damage Control,0,,,,,,0,,,,,,40496666667,40890000000,40300000000,3,40300000000,40890000000,40300000000,market,10000002,The Forge
43522,Aeon Ironblood SKIN,0,,,,,,0,,,,,,40000000000,40000000000,40000000000,1,40000000000,40000000000,40000000000,market,10000002,The Forge
4097,Men's 'Field Marshal' Coat,0,,,,,,0,,,,,,39960000000,39960000000,39960000000,1,39960000000,39960000000,39960000000,market,10000002,The Forge
41210,Cormack's Modified Damage Control,0,,,,,,0,,,,,,42698000000,49840000000,39930000000,5,39930000000,49840000000,39930000000,market,10000002,The Forge
54826,Large Vorton Projector,0,,,,,,0,,,,,,41310000000,44970000000,37960000000,6,37950000000,44990000000,37950000000,market,10000002,The Forge
46640,Standup L-Set Reprocessing Monitor II,0,,,,,,0,,,,,,35970000000,35970000000,35970000000,1,35970000000,35970000000,35970000000,market,10000002,The Forge
49960,Panther Yoiul Festival YC121 SKIN,0,,,,,,0,,,,,,35000000000,35000000000,35000000000,1,35000000000,35000000000,35000000000,market,10000002,The Forge
49962,Stratios Yoiul Festival YC121 SKIN,0,,,,,,0,,,,,,31340000000,31500000000,31180000000,2,31180000000,31500000000,31180000000,market,10000002,The Forge
15210,Cormack's Modified Multispectrum Energized Membrane,0,,,,,,0,,,,,,30000000000,30000000000,30000000000,1,30000000000,30000000000,30000000000,market,10000002,The Forge
43483,Executioner Ironblood SKIN,0,,,,,,0,,,,,,30000000000,30000000000,30000000000,1,30000000000,30000000000,30000000000,market,10000002,The Forge
56207,Keepstar Upwell Quantum Core,0,,,,,,0,,,,,,30000000000,30000000000,30000000000,1860,30000000000,30000000000,30000000000,market,10000002,The Forge
49961,Astero Yoiul Festival YC121 SKIN,0,,,,,,0,,,,,,29990000000,29990000000,29990000000,1,29990000000,29990000000,29990000000,market,10000002,The Forge
37274,Standup XL-Set Extinction Level Weapons Suite I,0,,,,,,0,,,,,,29900000000,29900000000,29900000000,1,29900000000,29900000000,29900000000,market,10000002,The Forge
23913,Nyx,1,29000000000,29000000000,29000000000,29000000000,29000000000,6,32483333333,31000000000,33000000000,28000000000,35000000000,36090000000,36090000000,36090000000,1,36090000000,36090000000,28000000000,package,10000030,Heimatar
22852,Hel,1,26000000000,26000000000,26000000000,26000000000,26000000000,5,29860000000,26900000000,27500000000,26900000000,33900000000,,,,0,,,26000000000,solo,10000030,Heimatar
56304,Heavy Abyssal Warp Disruptor,1,24500000000,24500000000,24500000000,24500000000,24500000000,0,,,,,,,,,0,,,24500000000,solo,10000002,The Forge
34657,Nidhoggur Krusual SKIN,0,,,,,,0,,,,,,23990000000,23990000000,23990000000,1,23990000000,23990000000,23990000000,market,10000002,The Forge
43502,Maller Ironblood SKIN,0,,,,,,0,,,,,,23000000000,23000000000,23000000000,1,23000000000,23000000000,23000000000,market,10000002,The Forge
56266,Men's Bioadaptive Kybernaut Combat Suit,0,,,,,,0,,,,,,22000000000,22000000000,22000000000,1,22000000000,22000000000,22000000000,market,10000002,The Forge
14652,Gotan's Modified Stasis Webifier,0,,,,,,0,,,,,,21000000000,21000000000,21000000000,1,21000000000,21000000000,21000000000,market,10000002,The Forge
43521,Archon Ironblood SKIN,0,,,,,,0,,,,,,20000000000,20000000000,20000000000,1,20000000000,20000000000,20000000000,market,10000002,The Forge
11487,Astronautic Engineering,0,,,,,,0,,,,,,23745000000,19990000000,24990000000,4,19990000000,30000000000,19990000000,market,10000002,The Forge
14690,Estamel's Modified Ballistic Control System,0,,,,,,0,,,,,,22020000000,24050000000,19990000000,2,19990000000,24050000000,19990000000,market,10000002,The Forge
49954,Minokawa Yoiul Festival YC121 SKIN,0,,,,,,0,,,,,,22495000000,25000000000,19990000000,2,19990000000,25000000000,19990000000,market,10000002,The Forge
46497,Standup L-Set Reactor Efficiency II,0,,,,,,0,,,,,,19970000000,19970000000,19970000000,1,19970000000,19970000000,19970000000,market,10000002,The Forge
54841,Vorton Arc Guidance,0,,,,,,0,,,,,,28273333333,44990000000,19920000000,3,19910000000,44990000000,19910000000,market,10000002,The Forge
37183,Standup XL-Set Laboratory Optimization I,0,,,,,,0,,,,,,18815000000,18810000000,18820000000,2,18810000000,18820000000,18810000000,market,10000002,The Forge
46328,Standup L-Set Moon Drilling Proficiency II,0,,,,,,0,,,,,,17970000000,17970000000,17970000000,1,17970000000,17970000000,17970000000,market,10000002,The Forge
14668,Gotan's Modified Heavy Warp Scrambler,0,,,,,,0,,,,,,17840000000,17800000000,17790000000,4,17790000000,17980000000,17790000000,market,10000002,The Forge
49952,Jackdaw Yoiul Festival YC121 SKIN,0,,,,,,0,,,,,,17485000000,17500000000,17470000000,2,17470000000,17500000000,17470000000,market,10000002,The Forge
41207,Setele's Modified Damage Control,0,,,,,,0,,,,,,17190000000,17190000000,17190000000,1,17190000000,17190000000,17190000000,market,10000002,The Forge
41208,Unit P-343554's Modified Damage Control,0,,,,,,0,,,,,,17155000000,17110000000,17200000000,2,17110000000,17200000000,17110000000,market,10000002,The Forge
28850,Ark,1,17070000000,17070000000,17070000000,17070000000,17070000000,0,,,,,,17440000000,17190000000,17360000000,10,17170000000,17890000000,17070000000,solo,10000002,The Forge
52907,Zirnitra,2,17250000000,17000000000,17500000000,17000000000,17500000000,0,,,,,,23870000000,22740000000,25000000000,3,22740000000,25000000000,17000000000,solo,10000043,Domain
14457,Mizuro's Modified 800mm Repeating Cannon,0,,,,,,0,,,,,,16880000000,16880000000,16880000000,1,16880000000,16880000000,16880000000,market,10000002,The Forge
28844,Rhea,4,16522500000,16600000000,16500000000,16490000000,16600000000,0,,,,,,17606666667,18990000000,16640000000,9,16500000000,21100000000,16490000000,solo,10000032,Sinq Laison
32925,Unit W-634's Modified Drone Damage Amplifier,0,,,,,,0,,,,,,16200000000,16600000000,16000000000,3,16000000000,16600000000,16000000000,market,10000002,The Forge
36673,Badger Raata Sunset SKIN,0,,,,,,0,,,,,,16000000000,16000000000,16000000000,1,16000000000,16000000000,16000000000,market,10000002,The Forge
40695,Typhoon IGC Victory SKIN,0,,,,,,0,,,,,,16000000000,16000000000,16000000000,1,16000000000,16000000000,16000000000,market,10000002,The Forge
4009,Looking Glass Monocle Interface (right/gold),0,,,,,,0,,,,,,16157500000,15820000000,15830000000,4,15820000000,16980000000,15820000000,market,10000002,The Forge
48522,Vargur Chainbreaker Khumaak SKIN,0,,,,,,0,,,,,,15750000000,15750000000,15750000000,1,15750000000,15750000000,15750000000,market,10000002,The Forge
14603,Tobias' Modified X-Large Shield Booster,0,,,,,,0,,,,,,15000000000,15000000000,15000000000,1,15000000000,15000000000,15000000000,market,10000002,The Forge
37521,Archon Raata Sunset SKIN,0,,,,,,0,,,,,,15000000000,15000000000,15000000000,1,15000000000,15000000000,15000000000,market,10000002,The Forge
33377,Sleeve - 'Drone' (left),0,,,,,,0,,,,,,14990000000,14990000000,14990000000,1,14990000000,14990000000,14990000000,market,10000002,The Forge
55856,Women's 'Proven Kybernaut' Combat Suit,0,,,,,,0,,,,,,14990000000,14990000000,14990000000,1,14990000000,14990000000,14990000000,market,10000002,The Forge
28848,Anshar,0,,,,,,1,15500000000,15500000000,15500000000,15500000000,15500000000,14933750000,14900000000,15520000000,8,14750000000,15520000000,14750000000,market,10000002,The Forge
